iter	Passed	Remaining
413	3484	4932
414	3493	4924
415	3501	4915
416	3509	4906
417	3517	4897
418	3526	4889
419	3534	4880
420	3543	4872
421	3551	4863
422	3559	4855
423	3570	4850
424	3580	4844
425	3591	4838
426	3600	4831
427	3611	4826
428	3620	4818
429	3628	4809
430	3636	4801
431	3645	4792
432	3653	4784
433	3662	4776
434	3670	4767
435	3679	4759
436	3687	4750
437	3696	4742
438	3704	4733
439	3712	4725
440	3721	4716
441	3729	4707
442	3737	4698
443	3745	4690
444	3754	4681
445	3762	4673
446	3770	4664
447	3778	4656
448	3787	4647
449	3795	4639
450	3803	4630
451	3812	4621
452	3820	4612
453	3828	4603
454	3836	4595
455	3844	4586
456	3852	4577
457	3861	4569
458	3869	4560
459	3877	4551
460	3885	4542
461	3894	4534
462	3902	4526
463	3911	4518
464	3919	4509
465	3928	4501
466	3936	4492
467	3945	4484
468	3953	4476
469	3962	4468
470	3970	4459
471	3978	4450
472	3986	4442
473	3995	4433
474	4004	4425
475	4012	4416
476	4020	4408
477	4028	4399
478	4036	4390
479	4044	4381
480	4052	4373
481	4061	4365
482	4069	4356
483	4077	4347
484	4086	4338
485	4094	4330
486	4102	4321
487	4110	4313
488	4119	4304
489	4127	4296
490	4135	4287
491	4143	4278
492	4152	4269
493	4160	4261
494	4168	4252
495	4176	4244
496	4185	4235
497	4193	4227
498	4202	4219
499	4210	4210
500	4218	4201
501	4227	4193
502	4235	4184
503	4243	4175
504	4251	4167
505	4260	4159
506	4268	4150
507	4276	4141
508	4284	4132
509	4292	4124
510	4300	4115
511	4309	4107
512	4317	4098
513	4325	4090
514	4334	4081
515	4342	4073
516	4350	4064
517	4358	4055
518	4367	4047
519	4375	4038
520	4383	4030
521	4391	4021
522	4400	4013
523	4408	4004
524	4416	3996
525	4424	3987
526	4433	3978
527	4441	3970
528	4449	3961
529	4457	3952
530	4465	3944
531	4473	3935
532	4481	3926
533	4489	3918
534	4498	3909
535	4506	3901
536	4515	3892
537	4523	3884
538	4531	3876
539	4540	3867
540	4548	3859
541	4556	3850
542	4564	3841
543	4573	3833
544	4581	3824
545	4589	3816
546	4598	3807
547	4607	3799
548	4616	3792
549	4624	3783
550	4633	3775
551	4641	3767
552	4649	3758
553	4657	3749
554	4666	3741
555	4675	3733
556	4683	3724
557	4691	3716
558	4699	3707
559	4707	3699
560	4716	3690
561	4724	3682
562	4732	3673
563	4741	3665
564	4749	3656
565	4757	3648
566	4765	3639
567	4773	3630
568	4782	3622
569	4790	3613
570	4798	3605
571	4806	3596
572	4815	3588
573	4823	3579
574	4831	3571
575	4839	3562
576	4847	3553
577	4855	3545
578	4863	3536
579	4871	3527
580	4880	3519
581	4888	3511
582	4897	3503
583	4906	3494
584	4914	3486
585	4922	3477
586	4931	3469
587	4940	3461
588	4948	3453
589	4957	3444
590	4965	3436
591	4974	3428
592	4982	3419
593	4990	3411
594	4999	3402
595	5007	3394
596	5015	3385
597	5023	3377
598	5031	3368
599	5040	3360
600	5048	3351
601	5057	3343
602	5065	3334
603	5073	3326
604	5081	3317
605	5090	3309
606	5098	3301
607	5106	3292
608	5115	3284
609	5123	3275
610	5131	3267
611	5140	3258
612	5148	3250
613	5156	3241
614	5164	3233
615	5173	3224
616	5181	3216
617	5189	3207
618	5197	3199
619	5205	3190
620	5214	3182
621	5222	3173
622	5230	3165
623	5238	3156
624	5246	3148
625	5255	3140
626	5263	3131
627	5272	3122
628	5280	3114
629	5288	3106
630	5296	3097
631	5305	3089
632	5313	3080
633	5321	3072
634	5329	3063
635	5338	3055
636	5346	3046
637	5354	3038
638	5362	3029
639	5370	3021
640	5379	3012
641	5387	3004
642	5395	2995
643	5404	2987
644	5412	2979
645	5420	2970
646	5428	2962
647	5437	2953
648	5445	2945
649	5453	2936
650	5462	2928
651	5470	2919
652	5478	2911
