iter	Logloss
0	0.6212613111
1	0.5452035273
2	0.5234973273
3	0.5067055847
4	0.4914282368
5	0.4551548725
6	0.435681317
7	0.4281089271
8	0.4062866015
9	0.3988047105
10	0.3935792954
11	0.3832812239
12	0.3760984486
13	0.3637584997
14	0.359367404
15	0.3554048407
16	0.3522344752
17	0.3483932322
18	0.3458873595
19	0.343113963
20	0.3408668102
21	0.3312879476
22	0.3292434533
23	0.3182108447
24	0.3128955741
25	0.3092592546
26	0.3067199109
27	0.3043948056
28	0.3002238386
29	0.2956827464
30	0.2928440519
31	0.2911763502
32	0.2811788963
33	0.2792997117
34	0.2770867447
35	0.2755892283
36	0.2744977121
37	0.2736601739
38	0.2711355219
39	0.2662371489
40	0.2605917872
41	0.2560131492
42	0.2461117059
43	0.2409876334
44	0.2372000674
45	0.2328799348
46	0.2318826339
47	0.2286787913
48	0.2277982131
49	0.226409578
50	0.2257095058
51	0.223332556
52	0.2226279022
53	0.2212619818
54	0.2205302409
55	0.2198944461
56	0.2181282744
57	0.2162071002
58	0.2150775368
59	0.2130841604
60	0.2126390395
61	0.2105910119
62	0.2093497531
63	0.2066495857
64	0.2058992341
65	0.2054818165
66	0.2049817661
67	0.2031707272
68	0.2028743225
69	0.2016953537
70	0.2013410243
71	0.2004820244
72	0.1998524913
73	0.1981553244
74	0.1978607376
75	0.1969185893
76	0.196455595
77	0.1958456838
78	0.1918180835
79	0.1912015607
80	0.1889680448
81	0.1862054271
82	0.1859454656
83	0.1846455988
84	0.1840694056
85	0.1827054951
86	0.1810334268
87	0.1800497477
88	0.1775362366
89	0.1758696318
90	0.1757007949
91	0.1739492819
92	0.1722513306
93	0.1718761873
94	0.1707023678
95	0.1698539742
96	0.1689273239
97	0.1676968141
98	0.1665191548
99	0.1651465669
100	0.164322275
101	0.1640937545
102	0.1637086585
103	0.1623268137
104	0.1604631942
105	0.1597347048
106	0.1573231985
107	0.1567835986
108	0.155935646
109	0.1552914828
110	0.1544925597
111	0.1530832943
112	0.1525817045
113	0.1520796414
114	0.1518954953
115	0.1515699855
116	0.1505715832
117	0.1498010718
118	0.1496068584
119	0.1494945831
120	0.1488580985
121	0.1485099955
122	0.1480301425
123	0.1475067336
124	0.1472067684
125	0.1471167156
126	0.1461559847
127	0.1460595414
128	0.1459233049
129	0.1435110791
130	0.1421566154
131	0.1419440521
132	0.1411344321
133	0.1401102691
134	0.1392139064
135	0.1386406312
136	0.1379149351
137	0.1372076862
138	0.1370682388
139	0.1365538095
140	0.1364437062
141	0.1358188925
142	0.1348596726
143	0.1343433501
144	0.1341412703
145	0.134005724
146	0.1335406233
147	0.1332559989
148	0.1328014635
149	0.1326034461
150	0.132417189
151	0.1320571076
152	0.1319863608
153	0.1317433345
154	0.1316271086
155	0.1314639593
156	0.1313695912
157	0.1312681358
158	0.1311964868
159	0.1311203362
160	0.1310402877
161	0.1309116454
162	0.1308648258
163	0.1307667496
164	0.130631194
165	0.1303515193
166	0.1302932254
167	0.1299233056
168	0.1296564102
169	0.1294746974
170	0.1293330118
171	0.1288223746
